Date,City,PM2.5,PM10,NO,NO2,NOX,NH3,CO,SO2,O3,Benzene,Toluene,Xylane,AQI,AQI_Bucket,City_Code
01-01-2015,Ahmedabad,0,0,0.92,18.22,17.15,0,0.92,27.64,63.78,0,0.02,0,63.78,Satisfactory,GJ001
02-01-2015,Ahmedabad,0,0,0.93,15.69,15.78,0,0.93,24.55,9.93,3.68,5.5,3.77,24.55,Good,GJ001
03-01-2015,Ahmedabad,0,0,10.88,19.3,29.7,0,10.88,29.07,30.7,6.8,16.4,2.25,30.7,Good,GJ001
04-01-2015,Ahmedabad,0,0,1.27,18.48,17.97,0,1.27,18.59,36.08,4.43,10.14,1,36.08,Good,GJ001
05-01-2015,Ahmedabad,0,0,16.58,21.42,37.76,0,16.58,39.33,39.31,7.01,18.89,2.78,39.33,Good,GJ001
06-01-2015,Ahmedabad,0,0,43.52,38.48,81.5,0,43.52,45.76,46.51,5.42,10.83,1.93,81.5,Satisfactory,GJ001
07-01-2015,Ahmedabad,0,0,93.47,40.62,130.77,0,93.47,32.28,33.47,0,0,0,130.77,Modarate,GJ001
08-01-2015,Ahmedabad,0,0,60.65,36.74,96.75,0,60.65,38.54,31.89,0,0,0,96.75,Satisfactory,GJ001
09-01-2015,Ahmedabad,0,0,19.44,31,44,0,19.44,58.68,25.75,0,0,0,58.68,Satisfactory,GJ001
10-01-2015,Ahmedabad,0,0,0,0.88,0,0,0,1.04,0.57,0,0,0,1.04,Good,GJ001
11-01-2015,Ahmedabad,0,0,16.51,6.98,24.53,0,16.51,3.13,0.85,0,0,0,24.53,Good,GJ001
12-01-2015,Ahmedabad,0,0,49.87,40.67,90.24,0,49.87,51.84,45.89,2.41,0.03,7.88,90.24,Satisfactory,GJ001
13-01-2015,Ahmedabad,0,0,44.75,44.2,87.09,0,44.75,65.37,35.16,9.45,13.35,12.5,87.09,Satisfactory,GJ001
14-01-2015,Ahmedabad,0,0,8.8,27.86,33.05,0,8.8,50.45,20.96,2.16,2.26,5.19,50.45,Satisfactory,GJ001
15-01-2015,Ahmedabad,0,0,0.45,16.96,16.6,0,0.45,28.89,47.63,0.14,0.04,1.35,47.63,Good,GJ001
16-01-2015,Ahmedabad,0,0,1.49,21.72,22.86,0,1.49,38.27,46.03,0.35,0.05,2.01,46.03,Good,GJ001
17-01-2015,Ahmedabad,0,0,10.49,24.73,34.75,0,10.49,49.5,52.24,0.68,0,3.27,52.24,Satisfactory,GJ001
18-01-2015,Ahmedabad,0,0,5.08,25.77,29.57,0,5.08,48.43,53.49,0.74,0.21,2.75,53.49,Satisfactory,GJ001
19-01-2015,Ahmedabad,0,0,2.19,26.88,27.45,0,2.19,50.03,49.48,0.27,0.02,2.8,50.03,Satisfactory,GJ001
20-01-2015,Ahmedabad,0,0,5.94,26.8,32.4,0,5.94,56.42,56.37,0.24,0.01,3.97,56.42,Satisfactory,GJ001
21-01-2015,Ahmedabad,0,0,7.93,33.56,39.28,0,7.93,102.47,48.75,0.33,0,5.65,102.47,Modarate,GJ001
22-01-2015,Ahmedabad,0,0,6.03,17.51,22.33,0,6.03,23.71,42.22,0,0,4.51,42.22,Good,GJ001
23-01-2015,Ahmedabad,0,0,20.66,27.96,47.79,0,20.66,39.19,32.92,0.39,0,5.95,47.79,Good,GJ001
24-01-2015,Ahmedabad,0,0,1.86,20.39,21.4,0,1.86,40.07,32.49,0.47,0.7,1.54,40.07,Good,GJ001
25-01-2015,Ahmedabad,0,0,1,20.43,20.19,0,1,58.41,39.26,0.01,0,0.94,58.41,Satisfactory,GJ001
26-01-2015,Ahmedabad,0,0,1.61,21.17,21.81,0,1.61,43.73,39.83,0.06,0,1.55,43.73,Good,GJ001
27-01-2015,Ahmedabad,0,0,2.01,21.7,23.26,0,2.01,43.28,41.1,0.02,0,1.65,43.28,Good,GJ001
28-01-2015,Ahmedabad,18.33,0,5.24,21.11,25.84,0,5.24,36.52,62.42,0.03,0.01,1.41,62.42,Satisfactory,GJ001
29-01-2015,Ahmedabad,83.13,0,5.78,28.71,33.72,0,5.78,49.52,59.76,0.02,0,3.15,209,Poor,GJ001
30-01-2015,Ahmedabad,79.88,0,13.28,28.68,41.08,0,13.28,48.49,97.07,0.04,0,4.81,328,Very Poor,GJ001
31-01-2015,Ahmedabad,94.63,0,20.32,32.66,52.61,0,20.32,64.58,83.5,0.24,0.01,7.67,514,Severe,GJ001
01-02-2015,Ahmedabad,135.96,0,43.48,42.08,84.57,0,43.48,75.23,68.47,0.4,0.04,25.87,782,Severe,GJ001
02-02-2015,Ahmedabad,178.29,0,40.92,35.31,72.8,0,40.92,55.04,49.22,0.46,0.06,35.61,914,Severe,GJ001
03-02-2015,Ahmedabad,139.79,0,29.34,28.4,56.73,0,29.34,33.79,58.27,0.17,0.03,11.87,660,Severe,GJ001
04-02-2015,Ahmedabad,80.63,0,2.07,22.83,24,0,2.07,25.73,47.3,0,0,0,294,Poor,GJ001
05-02-2015,Ahmedabad,58.38,0,2.38,21.39,23.31,0,2.38,29.94,53.54,0,0,0,149,Moderate,GJ001
06-02-2015,Ahmedabad,79.29,0,0.97,26.94,26.83,0,0.97,67.41,59.3,0,0,0,190,Moderate,GJ001
07-02-2015,Ahmedabad,88.67,0,6.99,31.32,37.73,0,6.99,80.09,44.76,0,0,0,247,Poor,GJ001
08-02-2015,Ahmedabad,74.33,0,7.8,27.3,33.42,0,7.8,52.02,47.42,0,0,0.27,379,Very Poor,GJ001
09-02-2015,Ahmedabad,114,0,3.6,24.27,26.86,0,3.6,48.73,39.94,0.02,0,3.55,341,Very Poor,GJ001
10-02-2015,Ahmedabad,105.42,0,1.29,18.21,18.75,0,1.29,35.91,56.15,0,0,3.31,256,Poor,GJ001
11-02-2015,Ahmedabad,61,0,5.55,23.8,28.24,0,5.55,66.58,50.92,9.7,9.63,16.49,388,Very Poor,GJ001
12-02-2015,Ahmedabad,65,0,14.19,30.1,44.21,0,14.19,63.17,27.9,7.72,17.46,2.51,288,Poor,GJ001
13-02-2015,Ahmedabad,103.33,0,18.18,39.56,57.33,0,18.18,70.38,15.04,11.29,24.35,3.35,510,Severe,GJ001
14-02-2015,Ahmedabad,177.29,0,32.8,47.58,77.85,0,32.8,87.25,36.47,17,52.66,6.98,761,Severe,GJ001
15-02-2015,Ahmedabad,113.21,0,15.55,30.5,44.87,0,15.55,63.9,33.78,10.47,28.53,3.22,475,Severe,GJ001
16-02-2015,Ahmedabad,99.71,0,19.85,28.1,47.31,0,19.85,61.02,30.57,10.28,31.25,4,536,Severe,GJ001
17-02-2015,Ahmedabad,80.67,0,15.97,21.04,35.67,0,15.97,54.7,36.2,8.14,18.75,2.52,479,Severe,GJ001
18-02-2015,Ahmedabad,100.75,0,16.24,25.93,41.91,0,16.24,41.31,37.43,10,32.41,4.04,592,Severe,GJ001
19-02-2015,Ahmedabad,107.96,0,11.25,30.09,40.47,0,11.25,70.72,31.94,9.2,24.03,3.25,427,Severe,GJ001
20-02-2015,Ahmedabad,140.21,0,33.84,36.14,68.85,0,33.84,93.07,40.98,20.12,43.51,7.48,588,Severe,GJ001
21-02-2015,Ahmedabad,230.04,0,61.95,46.25,106.92,0,61.95,81.34,33.55,22.14,53.98,15.44,1141,Severe,GJ001
22-02-2015,Ahmedabad,142.96,0,45.45,48.21,92.32,0,45.45,62.96,34.77,7.35,22.4,8.47,669,Severe,GJ001
23-02-2015,Ahmedabad,238.33,0,77.7,55.07,131.32,0,77.7,89.07,37.3,50.61,163.64,28.46,1247,Severe,GJ001
24-02-2015,Ahmedabad,118.79,0,12.56,32.01,42.56,0,12.56,46.16,38.8,16.89,46.52,6.05,411,Severe,GJ001
25-02-2015,Ahmedabad,35.33,0,1.49,9.58,6.93,0,1.49,30.03,61.65,3.85,11.39,0.81,292,Poor,GJ001
26-02-2015,Ahmedabad,0,0,0,0,0,0,0,0,0,,,,0,Good,GJ001
27-02-2015,Ahmedabad,0,0,0,0,0,0,0,0,0,,,,0,Good,GJ001
28-02-2015,Ahmedabad,0,0,0,0,0,0,0,0,0,,,,0,Good,GJ001
01-03-2015,Ahmedabad,22.92,0,1.34,6.3,7.84,0,1.34,10.67,11.43,2.69,1.58,1.32,22.92,Good,GJ001
02-03-2015,Ahmedabad,60.75,0,9.07,18.21,27.34,0,9.07,29.48,34.75,2.05,0.55,0.22,189,Moderate,GJ001
03-03-2015,Ahmedabad,91.79,0,12.99,28.71,40.76,0,12.99,39.71,38.46,2.69,1.74,2.25,408,Severe,GJ001
04-03-2015,Ahmedabad,93.83,0,18.21,29.38,47.01,0,18.21,62.75,46.79,5.21,2.55,1.55,383,Very Poor,GJ001
05-03-2015,Ahmedabad,115.38,0,32.3,38.75,60.48,0,32.3,72.2,54.44,9.72,9.96,4.13,780,Severe,GJ001
06-03-2015,Ahmedabad,0,0,0,0,0,0,0,0,0,,,,0,Good,GJ001
07-03-2015,Ahmedabad,39.5,0,0.94,6.04,7,0,0.94,10.98,26.21,17.77,5.75,0.39,39.5,Good,GJ001
08-03-2015,Ahmedabad,71.58,0,3.51,16.83,20.32,0,3.51,30.28,57.16,3.95,8.01,0.63,190,Moderate,GJ001
09-03-2015,Ahmedabad,119.83,0,4.13,24.07,27.9,0,4.13,50.35,50.49,4.85,12.15,1.35,233,Poor,GJ001
10-03-2015,Ahmedabad,106.67,0,5.39,25.59,30.51,0,5.39,37.23,60.17,5.58,14.17,1.74,297,Poor,GJ001
11-03-2015,Ahmedabad,118.46,0,4.11,28.94,31.83,0,4.11,54.2,53.62,7.9,21.32,2.78,330,Very Poor,GJ001
12-03-2015,Ahmedabad,106.08,0,4.28,27.31,30.54,0,4.28,61.5,37.5,9.45,15.54,1.71,252,Poor,GJ001
13-03-2015,Ahmedabad,97.42,0,3.67,21.58,24.62,0,3.67,61.71,22.85,5.61,15.02,2.25,244,Poor,GJ001
14-03-2015,Ahmedabad,83.92,0,6.42,25.03,30.8,0,6.42,67.53,34.94,8.24,21.47,3.09,234,Poor,GJ001
15-03-2015,Ahmedabad,49.46,0,3.1,14.16,16.15,0,3.1,46.32,37.95,4.34,11.34,1.09,219,Poor,GJ001
16-03-2015,Ahmedabad,30.75,0,2.72,14.14,16.98,0,2.72,43.63,54.78,3.58,9.38,0.84,118,Moderate,GJ001
17-03-2015,Ahmedabad,48.21,0,5.11,29.84,31.89,0,5.11,59.23,45.44,5.45,15.12,1.65,231,Poor,GJ001
18-03-2015,Ahmedabad,57.63,0,25.36,29.48,54.79,0,25.36,58.33,52.87,9.55,32.11,4.53,286,Poor,GJ001
19-03-2015,Ahmedabad,105.04,0,46.24,37.05,82.23,0,46.24,53.62,45.65,20.89,75.36,12.7,883,Severe,GJ001
20-03-2015,Ahmedabad,94.21,0,22.14,36.53,57.49,0,22.14,61.31,46.77,17.5,52.01,7.9,720,Severe,GJ001
21-03-2015,Ahmedabad,111.92,0,22.25,43.29,64.53,0,22.25,66.44,50.57,18.03,56.86,8.86,570,Severe,GJ001
22-03-2015,Ahmedabad,108.67,0,25.38,39.34,63.01,0,25.38,72.64,46.68,15.78,48.41,7.07,589,Severe,GJ001
23-03-2015,Ahmedabad,130.63,0,45.61,41.03,85.76,0,45.61,65.77,41.58,24.12,85.31,12.56,818,Severe,GJ001
24-03-2015,Ahmedabad,143.5,0,27.3,31.15,57.16,0,27.3,44.61,35.38,18.61,72.78,10.15,737,Severe,GJ001
25-03-2015,Ahmedabad,165.04,0,23.83,34.48,57.71,0,23.83,61.64,43.79,29.14,64.01,8.51,585,Severe,GJ001
26-03-2015,Ahmedabad,166.83,0,17.93,43.3,60.07,0,17.93,76.39,53.44,24.09,67.38,9.76,616,Severe,GJ001
27-03-2015,Ahmedabad,147.38,0,6.4,35.82,40.22,0,6.4,46.89,17.94,14.23,41.88,5.7,437,Severe,GJ001
28-03-2015,Ahmedabad,158.25,0,5.86,27.89,32.65,0,5.86,53.38,38.54,13.67,21.24,2.84,321,Very Poor,GJ001
29-03-2015,Ahmedabad,237.79,0,4.99,21.8,25.37,0,4.99,52.15,39.77,8.68,14.95,1.28,372,Very Poor,GJ001
30-03-2015,Ahmedabad,133.33,0,3.88,17.99,21.02,0,3.88,45.39,39.66,5.76,11.74,1.04,339,Very Poor,GJ001
31-03-2015,Ahmedabad,133.33,0,6.53,20,26.18,0,6.53,40.83,56.57,9.94,21.13,2.31,339,Very Poor,GJ001
01-04-2015,Ahmedabad,84.08,0,3.8,20.07,23.46,0,3.8,44.22,46.61,7.54,13.44,1.65,324,Very Poor,GJ001
02-04-2015,Ahmedabad,77.67,0,5.24,18.87,23.06,0,5.24,71.18,27.14,9.49,11.77,1.6,222,Poor,GJ001
03-04-2015,Ahmedabad,53.08,0,4.17,13.82,17.45,0,4.17,38.68,21.76,4.47,6.94,0.42,169,Moderate,GJ001
04-04-2015,Ahmedabad,36.83,0,3.28,12.92,10.78,0,3.28,28.66,3.54,5.2,8.17,0.73,220,Poor,GJ001
05-04-2015,Ahmedabad,58.79,0,1.47,6.26,7.86,0,1.47,9.87,13.92,3.88,10.78,0.97,58.79,Satisfactory,GJ001
06-04-2015,Ahmedabad,121.08,0,4.23,20.86,25.02,0,4.23,34.06,35.66,6.05,15.85,1.68,303,Very Poor,GJ001
07-04-2015,Ahmedabad,138.63,0,5.65,25.47,30.67,0,5.65,76.5,29.77,11.25,24.67,3.12,314,Very Poor,GJ001
08-04-2015,Ahmedabad,144.38,0,15.82,30.69,46.1,0,15.82,60.86,27.34,17.22,49.56,7.71,378,Very Poor,GJ001
09-04-2015,Ahmedabad,46.08,0,1.79,21.13,14.85,0,1.79,46.83,28.41,7.58,29.19,4.08,415,Severe,GJ001
10-04-2015,Ahmedabad,5.63,0,0.25,3.28,1.2,0,0.25,4.32,0.88,0,0,0,5.63,Good,GJ001
11-04-2015,Ahmedabad,60.96,0,3.52,14.03,17.59,0,3.52,8.08,19.54,0,0,0.01,126,Moderate,GJ001
12-04-2015,Ahmedabad,39.5,0,5.28,19.56,24.66,0,5.28,17.66,31.3,0,0,0,175,Moderate,GJ001
13-04-2015,Ahmedabad,102.5,0,3.56,22.51,23.08,0,3.56,15.84,31.23,0,0,0,226,Poor,GJ001
14-04-2015,Ahmedabad,53.46,0,5.74,21.71,27.69,0,5.74,25.91,43.92,2.15,10.46,5.4,244,Poor,GJ001
15-04-2015,Ahmedabad,87.42,0,16.51,26.23,40.64,0,16.51,13.02,41.64,1.21,3.28,20.78,315,Very Poor,GJ001
16-04-2015,Ahmedabad,141.38,0,30.8,36.88,66.53,0,30.8,41.06,37.66,0.66,0.01,28.13,678,Severe,GJ001
17-04-2015,Ahmedabad,66.75,0,12.44,40.59,34.23,0,12.44,27.61,42.43,1.67,0,15.95,774,Severe,GJ001
18-04-2015,Ahmedabad,109.5,0,4.3,20.27,22.86,0,4.3,40.78,31.34,0.05,0,6.19,285,Poor,GJ001
19-04-2015,Ahmedabad,126,0,6.99,20.18,26.78,0,6.99,62.98,28.71,0.2,0,6.4,321,Very Poor,GJ001
20-04-2015,Ahmedabad,65.25,0,16.73,21.32,37.58,0,16.73,43.83,28.39,1.38,23.54,6.09,358,Very Poor,GJ001
21-04-2015,Ahmedabad,97.92,0,6.3,17.96,23.45,0,6.3,13.85,34.16,0.21,4.91,2.95,357,Very Poor,GJ001
22-04-2015,Ahmedabad,42.33,0,2.3,12.17,10.3,0,2.3,22.72,39.98,0,0,1.23,189,Moderate,GJ001
23-04-2015,Ahmedabad,43.88,0,1.96,8.34,10.48,0,1.96,44.37,35.41,0,0.01,2.27,44.37,Good,GJ001
24-04-2015,Ahmedabad,80.92,0,5.7,18.62,24.23,0,5.7,59.99,22.8,0.05,0.09,3.46,214,Poor,GJ001
25-04-2015,Ahmedabad,103.21,0,4.55,19.82,23.69,0,4.55,81.86,22.18,0.06,1.17,2.58,253,Poor,GJ001
26-04-2015,Ahmedabad,89.58,0,3.09,12.96,11.51,0,3.09,49.58,8.44,0.09,0.16,2.91,239,Poor,GJ001
27-04-2015,Ahmedabad,26.88,0,0.26,2.46,1.34,0,0.26,19.72,9.96,0,2.55,0,26.88,Good,GJ001
28-04-2015,Ahmedabad,38.46,0,1.45,4.78,6.31,0,1.45,15.73,10.08,0.02,6.4,0.76,38.46,Good,GJ001
29-04-2015,Ahmedabad,138.54,0,5.05,16.7,21.56,0,5.05,68.02,27.18,0.01,0.88,2.01,300,Poor,GJ001
30-04-2015,Ahmedabad,129.04,0,5.69,14.86,19.66,0,5.69,58.71,18.67,0,0,1.54,317,Very Poor,GJ001
01-05-2015,Ahmedabad,96.67,0,4.67,15.9,20.53,0,4.67,39.41,11.83,0.01,0,3.11,240,Poor,GJ001
02-05-2015,Ahmedabad,126.75,0,15.69,23.93,39.73,0,15.69,89.3,36.71,0.22,0.04,10,344,Very Poor,GJ001
03-05-2015,Ahmedabad,106.08,0,13.12,23.02,35.05,0,13.12,60.45,81.6,0.3,0.02,9.69,503,Severe,GJ001
04-05-2015,Ahmedabad,86.33,0,2.58,10.5,10.45,0,2.58,50.13,90.54,0.47,0.15,12.8,308,Very Poor,GJ001
05-05-2015,Ahmedabad,83.96,0,2.73,0.06,2.75,0,2.73,32.64,69.57,0.28,0.05,8.97,227,Poor,GJ001
06-05-2015,Ahmedabad,65.04,0,2.61,3.82,6.75,0,2.61,22.27,32.26,0.17,0.04,5.84,120,Moderate,GJ001
07-05-2015,Ahmedabad,50.96,0,6.24,20.47,26.2,0,6.24,15.5,31.44,0,0,1.29,158,Moderate,GJ001
08-05-2015,Ahmedabad,38.88,0,8,19.28,26.61,0,8,20.13,25.7,0,0,2.08,177,Moderate,GJ001
09-05-2015,Ahmedabad,61.13,0,9.94,17.82,27.18,0,9.94,34.73,25.9,0,0,3.49,201,Poor,GJ001
10-05-2015,Ahmedabad,58.46,0,10.68,17.24,27.38,0,10.68,54.69,18.89,0,0,1.39,211,Poor,GJ001
11-05-2015,Ahmedabad,61.42,0,11.44,16.69,27.61,0,11.44,42.66,18.2,0.01,0,2.59,221,Poor,GJ001
12-05-2015,Ahmedabad,65.38,0,12.3,16.08,27.86,0,12.3,26.79,22.35,0,0,2.29,233,Poor,GJ001
13-05-2015,Ahmedabad,100.88,0,20.42,18.9,37.83,0,20.42,31.9,22.84,4.9,19.26,8.21,481,Severe,GJ001
14-05-2015,Ahmedabad,97.42,0,4.43,30.02,32.22,0,4.43,36.05,15.58,10.6,34.91,3.85,352,Very Poor,GJ001
15-05-2015,Ahmedabad,129.29,0,14.28,28.33,41.92,0,14.28,58.44,25.4,16.9,44.19,4.97,327,Very Poor,GJ001
16-05-2015,Ahmedabad,129.54,0,19.47,28.79,45.4,0,19.47,16.92,34.42,20.53,85.73,11.56,577,Severe,GJ001
17-05-2015,Ahmedabad,100.63,0,7.25,18.79,24.33,0,7.25,37.15,38.83,4.92,17.94,1.54,411,Severe,GJ001
18-05-2015,Ahmedabad,130.38,0,6.54,17.43,21.74,0,6.54,49.9,29.05,5.05,14,1.3,212,Poor,GJ001
19-05-2015,Ahmedabad,53.17,0,8.05,15.86,23.34,0,8.05,31.7,21.58,5.23,15,1.02,280,Poor,GJ001
20-05-2015,Ahmedabad,10.5,0,4.35,12.1,10.9,0,4.35,11.33,17,0,0,0,162,Moderate,GJ001
21-05-2015,Ahmedabad,6.25,0,6.7,13.66,16.88,0,6.7,28.12,11.83,0.41,1.89,1.44,28.12,Good,GJ001
22-05-2015,Ahmedabad,55.75,0,5.9,11.45,14.71,0,5.9,27.41,23.74,12.62,20.2,17.84,569,Severe,GJ001
23-05-2015,Ahmedabad,38.92,0,2.18,16.28,17.74,0,2.18,26.4,12.47,3,6.96,6.37,128,Moderate,GJ001
24-05-2015,Ahmedabad,46.88,0,2.96,16.17,18.49,0,2.96,41.96,10.74,3.41,8.87,3.53,129,Moderate,GJ001
25-05-2015,Ahmedabad,70.92,0,4.12,15.47,19.28,0,4.12,22.68,16.01,3.72,8.13,4.06,152,Moderate,GJ001
26-05-2015,Ahmedabad,53.71,0,4.24,14.43,18.06,0,4.24,14.46,45.64,2.39,6.4,3.53,176,Moderate,GJ001
27-05-2015,Ahmedabad,45.58,0,3.55,13.73,14.25,0,3.55,12.85,71.85,2.5,5.96,3.36,167,Moderate,GJ001
28-05-2015,Ahmedabad,37.96,0,2.86,10.38,11.6,0,2.86,8.08,24.03,3.03,9.18,6.54,106,Moderate,GJ001
29-05-2015,Ahmedabad,51.92,0,13.71,17.87,31.64,0,13.71,15.33,12.88,6.33,19.17,10.57,231,Poor,GJ001
30-05-2015,Ahmedabad,77.96,0,6.67,17.12,23,0,6.67,46.82,16.67,4.79,9.78,5.1,327,Very Poor,GJ001
31-05-2015,Ahmedabad,57.54,0,5.6,15.47,20.42,0,5.6,39.94,25.51,2.64,6.3,3.08,174,Moderate,GJ001
01-06-2015,Ahmedabad,77.29,0,6.14,15.47,18.49,0,6.14,71.97,9.56,3.74,8.45,1.17,185,Moderate,GJ001
02-06-2015,Ahmedabad,45.21,0,7.25,12.74,19.66,0,7.25,18.64,6.32,2.73,6.99,0.76,179,Moderate,GJ001
03-06-2015,Ahmedabad,103.83,0,6.36,13.9,19.87,0,6.36,7.76,15.27,0.82,1.37,0.81,211,Poor,GJ001
04-06-2015,Ahmedabad,25,0,6.01,18.73,24.74,0,6.01,38.05,38.52,0,0,0,192,Moderate,GJ001
05-06-2015,Ahmedabad,87,0,8.05,17.88,25.53,0,8.05,23.84,48.23,0,0,0,310,Very Poor,GJ001
06-06-2015,Ahmedabad,89.54,0,6.59,19.84,25.9,0,6.59,48.05,44.78,0,0,0,223,Poor,GJ001
07-06-2015,Ahmedabad,80.75,0,6.86,16.07,22.25,0,6.86,39.86,32.65,0,0,0,192,Moderate,GJ001
08-06-2015,Ahmedabad,44.79,0,7.76,16.53,24.29,0,7.76,9.89,8.07,0,0,0,191,Moderate,GJ001
09-06-2015,Ahmedabad,38.13,0,7.41,11.62,19.03,0,7.41,3,6.69,2.5,5.93,0.74,184,Moderate,GJ001
10-06-2015,Ahmedabad,45.46,0,8.56,15.59,24.15,0,8.56,0.64,3.82,5.09,8.52,1.82,220,Poor,GJ001
11-06-2015,Ahmedabad,36.92,0,8.21,11.52,19.74,0,8.21,0.46,4.52,3.63,8.17,1.33,215,Poor,GJ001
12-06-2015,Ahmedabad,43.54,0,8.26,13.33,21.58,0,8.26,0.59,7.56,3.59,6.79,1.5,226,Poor,GJ001
13-06-2015,Ahmedabad,45.42,0,9.63,14.91,24.53,0,9.63,0.64,2.94,3.67,6.62,1.17,251,Poor,GJ001
14-06-2015,Ahmedabad,38.08,0,8.67,18.57,27.25,0,8.67,0.83,3.47,2.85,5.12,0.74,216,Poor,GJ001
15-06-2015,Ahmedabad,45.46,0,9.35,20.55,29.9,0,9.35,0.52,3.75,2.83,7.18,0.82,237,Poor,GJ001
16-06-2015,Ahmedabad,37.83,0,8.54,16.26,24.8,0,8.54,0.65,4.6,2.53,7.61,0.81,198,Moderate,GJ001
17-06-2015,Ahmedabad,32.25,0,7.53,14.36,21.89,0,7.53,1.09,12.17,1.88,7.92,0.69,195,Moderate,GJ001
18-06-2015,Ahmedabad,34.75,0,7.59,13.51,21.11,0,7.59,4.11,11.71,1.82,6.19,0.47,187,Moderate,GJ001
19-06-2015,Ahmedabad,32.54,0,7.34,13.91,21.25,0,7.34,4.04,11.86,2.55,9.3,0.97,181,Moderate,GJ001
20-06-2015,Ahmedabad,29.25,0,7.55,11.68,19.23,0,7.55,4.01,12.64,1.64,7,0.62,179,Moderate,GJ001
21-06-2015,Ahmedabad,20.46,0,7.15,10.61,17.76,0,7.15,5.62,12.7,1.26,5.17,0.32,188,Moderate,GJ001
22-06-2015,Ahmedabad,26.08,0,7.99,11.07,19.06,0,7.99,3.25,10.57,1.5,6.9,0.63,190,Moderate,GJ001
23-06-2015,Ahmedabad,21.38,0,7.45,11.17,18.62,0,7.45,4.99,7.38,1.4,6.69,0.76,185,Moderate,GJ001
24-06-2015,Ahmedabad,11.92,0,7.34,10.1,17.44,0,7.34,10.86,5.47,1.3,12.23,0.73,189,Moderate,GJ001
25-06-2015,Ahmedabad,57.79,0,8.68,9.68,18.36,0,8.68,11.26,3.06,1.98,6.51,0.74,196,Moderate,GJ001
26-06-2015,Ahmedabad,66.42,0,8.58,12.79,21.36,0,8.58,11.09,4.96,1.76,6.18,0.57,201,Poor,GJ001
27-06-2015,Ahmedabad,62.67,0,9.15,9.83,18.98,0,9.15,12.31,6.44,1.87,5.47,0.37,231,Poor,GJ001
28-06-2015,Ahmedabad,47.46,0,8.07,9.53,17.59,0,8.07,13.91,7.28,1.34,3.97,0.12,196,Moderate,GJ001
29-06-2015,Ahmedabad,97.79,0,9.23,11.51,20.74,0,9.23,5.27,5.99,1.84,5.69,0.28,220,Poor,GJ001
30-06-2015,Ahmedabad,29.92,0,8.87,13.59,22.64,0,8.87,8.09,6.31,1.32,4.59,0.16,244,Poor,GJ001
01-07-2015,Ahmedabad,4.79,0,9.01,10.9,20.36,0,9.01,7.31,6.38,1.27,3.94,0.13,223,Poor,GJ001
02-07-2015,Ahmedabad,48.75,0,9.56,11.94,21.5,0,9.56,5.73,6.61,1.77,4.97,0.39,230,Poor,GJ001
03-07-2015,Ahmedabad,49.67,0,9.43,9.81,19.23,0,9.43,4.8,6.42,2,4.79,0.31,243,Poor,GJ001
04-07-2015,Ahmedabad,48.08,0,8.03,9.53,17.57,0,8.03,7.78,7.6,1.68,4.41,0.18,215,Poor,GJ001
05-07-2015,Ahmedabad,47.42,0,8.11,9.45,17.56,0,8.11,6.6,7.08,2.1,3.6,0.13,199,Moderate,GJ001
06-07-2015,Ahmedabad,51.79,0,8.91,12.38,21.28,0,8.91,8.37,5.78,2.15,3.64,0.27,200,Moderate,GJ001
07-07-2015,Ahmedabad,42.71,0,9.74,11.08,20.82,0,9.74,9.06,4.44,1.62,4.96,0.4,226,Poor,GJ001
08-07-2015,Ahmedabad,38.33,0,10.55,7.8,18.35,0,10.55,9.86,3.24,2.46,4.79,0.41,241,Poor,GJ001
09-07-2015,Ahmedabad,46.63,0,11.48,0.17,11.64,0,11.48,8.97,5.76,1.77,4.34,0.15,222,Poor,GJ001
10-07-2015,Ahmedabad,55.17,0,11.55,0.11,11.66,0,11.55,12.7,6.55,1.69,4.17,0.22,223,Poor,GJ001
11-07-2015,Ahmedabad,148.96,0,11.49,0.16,11.65,0,11.49,10.07,7.27,1.71,5.72,0.19,248,Poor,GJ001
12-07-2015,Ahmedabad,86.67,0,11.47,0.17,11.64,0,11.47,11.09,6.53,1.57,3.85,0.09,300,Poor,GJ001
13-07-2015,Ahmedabad,111.83,0,11.3,0.24,11.53,0,11.3,7.73,4.67,1.72,4.52,0.16,232,Poor,GJ001
14-07-2015,Ahmedabad,151.38,0,10.8,0.36,11.16,0,10.8,7.8,5,0.95,3.54,0.12,330,Very Poor,GJ001
15-07-2015,Ahmedabad,47.13,0,8,2.69,10.67,0,8,7.92,5.76,1.54,4.32,0.35,223,Poor,GJ001
16-07-2015,Ahmedabad,65.38,0,0.64,8.07,8.57,0,0.64,14.95,8.02,1.63,4.34,0.28,105,Moderate,GJ001
17-07-2015,Ahmedabad,53.96,0,0.57,7.69,8.16,0,0.57,18.14,5.94,1.52,3.74,0.29,101,Moderate,GJ001
18-07-2015,Ahmedabad,48.13,0,0.65,8,8.55,0,0.65,18.99,7.97,1.23,4.74,0.12,93,Satisfactory,GJ001
19-07-2015,Ahmedabad,33.67,0,0.72,7.89,8.56,0,0.72,10.34,10.18,0.61,3.85,0.08,67,Satisfactory,GJ001
20-07-2015,Ahmedabad,19.58,0,0.34,5.06,5.3,0,0.34,4.72,4.65,0.52,2.31,0.06,60,Satisfactory,GJ001
